Filename;Level;PSNR;MSE;MAE;UQI
image1.pgm;Low;31,158298;49,802438;5,222708;0,985824
image1.pgm;Medium;29,614803;71,055894;6,312706;0,981597
image1.pgm;High;26,436220;147,726492;9,540646;0,967897
image2.pgm;Low;26,277071;153,240404;10,558096;0,980177
image2.pgm;Medium;22,988035;326,796085;16,048206;0,967048
image2.pgm;High;19,304344;763,213410;24,574060;0,926866
image3.pgm;Low;29,334225;75,798014;6,193112;0,989136
image3.pgm;Medium;27,456963;116,784179;7,922289;0,985204
image3.pgm;High;23,281918;305,413752;13,596088;0,966649
image4.pgm;Low;24,464028;232,636354;9,304654;0,980529
image4.pgm;Medium;23,271998;306,112179;11,312811;0,974088
image4.pgm;High;21,696836;439,943345;14,289570;0,962880
image5.pgm;Low;18,681616;880,884133;18,913840;0,805000
image5.pgm;Medium;17,821966;1073,702013;21,266747;0,755083
image5.pgm;High;17,051880;1282,012686;24,710400;0,717471
